diagnostic,period,domain,value,units,interpretation
qu850,July,atlantic_congo_ethiopia,-0.0012168419547864257,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,atlantic_congo_ethiopia,0.01537685335943047,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,atlantic_congo_ethiopia,4.445699881851333,m s**-1,Monthly climatological diagnostic.
mfc850,July,atlantic_congo_ethiopia,-1.927993080965517e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,congo_moisture_corridor,0.01111012603822935,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,congo_moisture_corridor,0.015736567742398847,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,congo_moisture_corridor,2.7307954223787947,m s**-1,Monthly climatological diagnostic.
mfc850,July,congo_moisture_corridor,1.2920285023214024e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,western_moisture_entry,0.020375256653005474,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,western_moisture_entry,0.0220657722174513,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,western_moisture_entry,3.1512091543275664,m s**-1,Monthly climatological diagnostic.
mfc850,July,western_moisture_entry,8.781335754311556e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,western_indian_ocean,0.024060518826771866,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,western_indian_ocean,0.057237763841322634,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,western_indian_ocean,11.069986077853086,m s**-1,Monthly climatological diagnostic.
mfc850,July,western_indian_ocean,-5.938154813636716e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,arabia_red_sea,0.0413523383909906,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,arabia_red_sea,-0.0007278574128536673,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,arabia_red_sea,7.056708846740352,m s**-1,Monthly climatological diagnostic.
mfc850,July,arabia_red_sea,2.0127961363665646e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,north_africa_arabia,0.021237154548993685,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,north_africa_arabia,-0.0059730710471043716,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,north_africa_arabia,5.46341121303582,m s**-1,Monthly climatological diagnostic.
mfc850,July,north_africa_arabia,9.091810521235925e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,tej_core,0.09609853170511369,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,tej_core,0.023511629237463718,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,tej_core,9.985311730296614,m s**-1,Monthly climatological diagnostic.
mfc850,July,tej_core,1.2378444627192531e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,somali_jet_box,0.03408259809225911,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,somali_jet_box,0.07775486725628723,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,somali_jet_box,12.150918889541114,m s**-1,Monthly climatological diagnostic.
mfc850,July,somali_jet_box,-1.1202110348858899e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,turkana_corridor,-0.025634909433161157,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,turkana_corridor,0.05738710191699422,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,turkana_corridor,7.399529763763064,m s**-1,Monthly climatological diagnostic.
mfc850,July,turkana_corridor,-2.506545843855501e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,ethiopia,0.031988063881159205,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,ethiopia,0.0383461241535035,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,ethiopia,6.415302618369951,m s**-1,Monthly climatological diagnostic.
mfc850,August,ethiopia,3.352033710967661e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,ethiopia_highlands_broad,0.012011890390518155,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,ethiopia_highlands_broad,0.012063683877631955,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,ethiopia_highlands_broad,2.333312371873475,m s**-1,Monthly climatological diagnostic.
mfc850,August,ethiopia_highlands_broad,2.929823503069568e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,north_ethiopia,0.019097740447097666,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,north_ethiopia,-0.0010506805400353782,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,north_ethiopia,2.7252564829388444,m s**-1,Monthly climatological diagnostic.
mfc850,August,north_ethiopia,3.972352869741533e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,central_ethiopia,0.00539750321610847,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,central_ethiopia,0.007676193325954461,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,central_ethiopia,1.1113531287682663,m s**-1,Monthly climatological diagnostic.
mfc850,August,central_ethiopia,1.5752076965457724e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,west_ethiopia,0.012068718707352,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,west_ethiopia,0.018648540582068718,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,west_ethiopia,2.016578777120941,m s**-1,Monthly climatological diagnostic.
mfc850,August,west_ethiopia,2.0456211653051764e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,east_ethiopia,0.0671696053149334,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,east_ethiopia,0.06864182321035019,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,east_ethiopia,10.413825887588521,m s**-1,Monthly climatological diagnostic.
mfc850,August,east_ethiopia,1.4361063050769733e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,greater_horn,0.0033267912777407765,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,greater_horn,0.02321163087960593,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,greater_horn,6.154539149291889,m s**-1,Monthly climatological diagnostic.
mfc850,August,greater_horn,3.3224124994359293e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,east_africa,0.003859025473487036,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,east_africa,0.02906916723158733,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,east_africa,6.350998249677037,m s**-1,Monthly climatological diagnostic.
mfc850,August,east_africa,4.256648848850846e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,atlantic_congo_ethiopia,-0.0009669502148671437,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,atlantic_congo_ethiopia,0.011001535921997117,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,atlantic_congo_ethiopia,4.1153145488729574,m s**-1,Monthly climatological diagnostic.
mfc850,August,atlantic_congo_ethiopia,-4.697695462316254e-10,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,congo_moisture_corridor,0.011886007945065965,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,congo_moisture_corridor,0.006754641668440926,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,congo_moisture_corridor,2.4770799198315188,m s**-1,Monthly climatological diagnostic.
mfc850,August,congo_moisture_corridor,1.686280145510938e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,western_moisture_entry,0.014708152326744413,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,western_moisture_entry,0.014704884655409221,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,western_moisture_entry,2.5536185310562005,m s**-1,Monthly climatological diagnostic.
mfc850,August,western_moisture_entry,8.958377267188029e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,western_indian_ocean,0.01411999368740761,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,western_indian_ocean,0.04806119855144198,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,western_indian_ocean,9.97523572698575,m s**-1,Monthly climatological diagnostic.
mfc850,August,western_indian_ocean,-5.698363841711558e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,arabia_red_sea,0.034799912385067196,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,arabia_red_sea,0.00034307766602700103,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,arabia_red_sea,6.101942244813694,m s**-1,Monthly climatological diagnostic.
mfc850,August,arabia_red_sea,1.806783853161506e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,north_africa_arabia,0.01580431702326104,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,north_africa_arabia,-0.006567493026036223,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,north_africa_arabia,4.774651477852677,m s**-1,Monthly climatological diagnostic.
mfc850,August,north_africa_arabia,6.0004063136416125e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,tej_core,0.08376850384875974,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,tej_core,0.017832242880923402,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,tej_core,8.837273691835861,m s**-1,Monthly climatological diagnostic.
mfc850,August,tej_core,1.0969134852886956e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,somali_jet_box,0.024710780018005953,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,somali_jet_box,0.0687959729863787,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,somali_jet_box,11.09352854124064,m s**-1,Monthly climatological diagnostic.
mfc850,August,somali_jet_box,-1.1737052974726682e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,August,turkana_corridor,-0.029252345015870304,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,August,turkana_corridor,0.053581591554187465,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,August,turkana_corridor,7.243790506650417,m s**-1,Monthly climatological diagnostic.
mfc850,August,turkana_corridor,-2.8351172665917185e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,ethiopia,0.01383900362703311,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,ethiopia,0.0291441201007995,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,ethiopia,4.506037489083042,m s**-1,Monthly climatological diagnostic.
mfc850,September,ethiopia,9.197296828251948e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,ethiopia_highlands_broad,0.0019376862316200349,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,ethiopia_highlands_broad,0.006739463060248401,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,ethiopia_highlands_broad,1.5368872125670963,m s**-1,Monthly climatological diagnostic.
mfc850,September,ethiopia_highlands_broad,2.991813342043664e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,north_ethiopia,0.004712269681630249,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,north_ethiopia,-0.004149728631747421,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,north_ethiopia,1.5933209395013983,m s**-1,Monthly climatological diagnostic.
mfc850,September,north_ethiopia,3.6929723486118463e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,central_ethiopia,-0.0012999585331944714,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,central_ethiopia,0.003686080427226559,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,central_ethiopia,0.6726552464793285,m s**-1,Monthly climatological diagnostic.
mfc850,September,central_ethiopia,2.6632644531051383e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,west_ethiopia,0.0020852796758170796,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,west_ethiopia,0.01156576364664359,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,west_ethiopia,1.2515678131979495,m s**-1,Monthly climatological diagnostic.
mfc850,September,west_ethiopia,1.4289869860611084e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,east_ethiopia,0.041589302688585024,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,east_ethiopia,0.05167932415670578,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,east_ethiopia,7.144420400876802,m s**-1,Monthly climatological diagnostic.
mfc850,September,east_ethiopia,1.444980237641166e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,greater_horn,-0.009042389340007269,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,greater_horn,0.014172820590306815,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,greater_horn,5.031436236011822,m s**-1,Monthly climatological diagnostic.
mfc850,September,greater_horn,3.3847064140622425e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,east_africa,-0.00906840884034822,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,east_africa,0.018067069253389068,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,east_africa,5.130094895652128,m s**-1,Monthly climatological diagnostic.
mfc850,September,east_africa,4.955287502038444e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,atlantic_congo_ethiopia,-0.01131341213594175,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,atlantic_congo_ethiopia,0.005252379538643744,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,atlantic_congo_ethiopia,3.8183398416918326,m s**-1,Monthly climatological diagnostic.
mfc850,September,atlantic_congo_ethiopia,-1.1641135448605378e-11,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,congo_moisture_corridor,0.0018554464078693604,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,congo_moisture_corridor,0.000805084343187431,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,congo_moisture_corridor,1.9888436127224454,m s**-1,Monthly climatological diagnostic.
mfc850,September,congo_moisture_corridor,1.649342365423751e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,western_moisture_entry,-0.0012584212686710882,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,western_moisture_entry,0.007601535366001495,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,western_moisture_entry,1.6458054195866607,m s**-1,Monthly climatological diagnostic.
mfc850,September,western_moisture_entry,8.533495969197075e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,western_indian_ocean,0.0028612559858454006,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,western_indian_ocean,0.030714367590952883,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,western_indian_ocean,7.388394532060083,m s**-1,Monthly climatological diagnostic.
mfc850,September,western_indian_ocean,-3.638527647941067e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,arabia_red_sea,0.010652391489022476,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,arabia_red_sea,-0.0022518425926548904,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,arabia_red_sea,3.8305133291042504,m s**-1,Monthly climatological diagnostic.
mfc850,September,arabia_red_sea,8.872783310742065e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,north_africa_arabia,0.00036587115754906535,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,north_africa_arabia,-0.007457669790486483,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,north_africa_arabia,3.848424276752031,m s**-1,Monthly climatological diagnostic.
mfc850,September,north_africa_arabia,1.5204109258623728e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,tej_core,0.044694104930892674,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,tej_core,0.0077648495462862375,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,tej_core,5.657627940415818,m s**-1,Monthly climatological diagnostic.
mfc850,September,tej_core,8.708093195063084e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,somali_jet_box,0.007037720938917084,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,somali_jet_box,0.04971863927735312,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,somali_jet_box,8.178860871148155,m s**-1,Monthly climatological diagnostic.
mfc850,September,somali_jet_box,-5.568867931881798e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,September,turkana_corridor,-0.03498932531855267,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,September,turkana_corridor,0.04899742246588544,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,September,turkana_corridor,7.045532762779272,m s**-1,Monthly climatological diagnostic.
mfc850,September,turkana_corridor,-2.764155629832789e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
