diagnostic,period,value,units,interpretation,source_table,domain,classification
wind_speed850,August,2.333312371873475,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
mfc850,August,2.929823503069568e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qu850,August,0.019097740447097666,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qv850,August,-0.0010506805400353782,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
wind_speed850,August,2.7252564829388444,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
mfc850,August,3.972352869741533e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qu850,August,0.00539750321610847,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qv850,August,0.007676193325954461,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
wind_speed850,August,1.1113531287682663,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
mfc850,August,1.5752076965457724e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qu850,August,0.012068718707352,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qv850,August,0.018648540582068718,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
wind_speed850,August,2.016578777120941,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
mfc850,August,2.0456211653051764e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qu850,August,0.0671696053149334,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qv850,August,0.06864182321035019,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
wind_speed850,August,10.413825887588521,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
mfc850,August,1.4361063050769733e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qu850,August,0.0033267912777407765,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qv850,August,0.02321163087960593,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
wind_speed850,August,6.154539149291889,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
mfc850,August,3.3224124994359293e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qu850,August,0.003859025473487036,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qv850,August,0.02906916723158733,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
wind_speed850,August,6.350998249677037,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
mfc850,August,4.256648848850846e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qu850,August,-0.0009669502148671437,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qv850,August,0.011001535921997117,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
wind_speed850,August,4.1153145488729574,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
mfc850,August,-4.697695462316254e-10,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qu850,August,0.011886007945065965,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qv850,August,0.006754641668440926,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
wind_speed850,August,2.4770799198315188,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
mfc850,August,1.686280145510938e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qu850,August,0.014708152326744413,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qv850,August,0.014704884655409221,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
wind_speed850,August,2.5536185310562005,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
mfc850,August,8.958377267188029e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qu850,August,0.01411999368740761,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qv850,August,0.04806119855144198,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
wind_speed850,August,9.97523572698575,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
mfc850,August,-5.698363841711558e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qu850,August,0.034799912385067196,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qv850,August,0.00034307766602700103,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
wind_speed850,August,6.101942244813694,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
mfc850,August,1.806783853161506e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qu850,August,0.01580431702326104,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qv850,August,-0.006567493026036223,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
wind_speed850,August,4.774651477852677,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
mfc850,August,6.0004063136416125e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qu850,August,0.08376850384875974,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qv850,August,0.017832242880923402,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
wind_speed850,August,8.837273691835861,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
mfc850,August,1.0969134852886956e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qu850,August,0.024710780018005953,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qv850,August,0.0687959729863787,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
wind_speed850,August,11.09352854124064,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
mfc850,August,-1.1737052974726682e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qu850,August,-0.029252345015870304,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qv850,August,0.053581591554187465,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
wind_speed850,August,7.243790506650417,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
mfc850,August,-2.8351172665917185e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qu850,September,0.01383900362703311,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qv850,September,0.0291441201007995,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
wind_speed850,September,4.506037489083042,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
mfc850,September,9.197296828251948e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qu850,September,0.0019376862316200349,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qv850,September,0.006739463060248401,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
wind_speed850,September,1.5368872125670963,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
mfc850,September,2.991813342043664e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qu850,September,0.004712269681630249,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qv850,September,-0.004149728631747421,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
wind_speed850,September,1.5933209395013983,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
mfc850,September,3.6929723486118463e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qu850,September,-0.0012999585331944714,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qv850,September,0.003686080427226559,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
wind_speed850,September,0.6726552464793285,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
mfc850,September,2.6632644531051383e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qu850,September,0.0020852796758170796,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qv850,September,0.01156576364664359,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
wind_speed850,September,1.2515678131979495,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
mfc850,September,1.4289869860611084e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qu850,September,0.041589302688585024,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qv850,September,0.05167932415670578,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
wind_speed850,September,7.144420400876802,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
mfc850,September,1.444980237641166e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qu850,September,-0.009042389340007269,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qv850,September,0.014172820590306815,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
wind_speed850,September,5.031436236011822,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
mfc850,September,3.3847064140622425e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qu850,September,-0.00906840884034822,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qv850,September,0.018067069253389068,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
wind_speed850,September,5.130094895652128,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
mfc850,September,4.955287502038444e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qu850,September,-0.01131341213594175,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qv850,September,0.005252379538643744,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
wind_speed850,September,3.8183398416918326,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
mfc850,September,-1.1641135448605378e-11,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qu850,September,0.0018554464078693604,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qv850,September,0.000805084343187431,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
wind_speed850,September,1.9888436127224454,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
mfc850,September,1.649342365423751e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qu850,September,-0.0012584212686710882,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qv850,September,0.007601535366001495,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
wind_speed850,September,1.6458054195866607,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
mfc850,September,8.533495969197075e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qu850,September,0.0028612559858454006,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qv850,September,0.030714367590952883,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
wind_speed850,September,7.388394532060083,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
mfc850,September,-3.638527647941067e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qu850,September,0.010652391489022476,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qv850,September,-0.0022518425926548904,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
wind_speed850,September,3.8305133291042504,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
mfc850,September,8.872783310742065e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qu850,September,0.00036587115754906535,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qv850,September,-0.007457669790486483,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
wind_speed850,September,3.848424276752031,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
mfc850,September,1.5204109258623728e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qu850,September,0.044694104930892674,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qv850,September,0.0077648495462862375,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
wind_speed850,September,5.657627940415818,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
mfc850,September,8.708093195063084e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qu850,September,0.007037720938917084,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qv850,September,0.04971863927735312,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
wind_speed850,September,8.178860871148155,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
mfc850,September,-5.568867931881798e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qu850,September,-0.03498932531855267,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qv850,September,0.04899742246588544,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
wind_speed850,September,7.045532762779272,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
mfc850,September,-2.764155629832789e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
omega500,June,-0.018629559388504805,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia,
omega500,June,-0.05716653871664211,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
omega500,June,-0.050826591779093606,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
omega500,June,-0.07585103464159143,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
omega500,June,-0.07911935581463037,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
omega500,June,0.01263031881818276,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
omega500,June,0.0070385716542677845,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,greater_horn,
omega500,June,0.004897537895771122,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_africa,
omega500,June,0.006782827750310994,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
omega500,June,-0.018314767778895118,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
omega500,June,-0.03655749012713312,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
omega500,June,0.006456507906535489,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
omega500,June,0.0057750960212573955,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
omega500,June,0.019692728257253864,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
omega500,June,-0.026133988230029503,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,tej_core,
omega500,June,0.013850655796390905,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
omega500,June,0.022014015661078478,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
omega500,July,-0.034239830440559525,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia,
omega500,July,-0.08744877502666638,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
omega500,July,-0.10226388894051192,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
omega500,July,-0.11897520874011769,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
omega500,July,-0.08302296197078202,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
omega500,July,0.0006665725538583303,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
omega500,July,0.001219710437530547,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,greater_horn,
omega500,July,5.4984196690635995e-05,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_africa,
omega500,July,0.003753027467778188,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
omega500,July,-0.021643312084501806,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
omega500,July,-0.04019857474387646,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
omega500,July,0.009229595989107662,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
omega500,July,-0.009321814847347839,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
omega500,July,0.006980618099866751,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
omega500,July,-0.030804728490134707,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,tej_core,
omega500,July,0.011987352684604076,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
omega500,July,0.022962472610383956,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
omega500,August,-0.03193089666463488,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia,
omega500,August,-0.08487798504018136,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
omega500,August,-0.10220396079536484,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
omega500,August,-0.11462976926113429,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
omega500,August,-0.08009387927128649,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
omega500,August,0.0019292996155678161,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_ethiopia,
omega500,August,-0.0010222855800493614,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,greater_horn,
omega500,August,-0.0026833859848426583,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,east_africa,
omega500,August,0.00022484936351985395,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,atlantic_congo_ethiopia,
omega500,August,-0.032437637161628986,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,congo_moisture_corridor,
omega500,August,-0.04424605525170731,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_moisture_entry,
omega500,August,0.01051201243877909,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,western_indian_ocean,
omega500,August,-0.006930597958470099,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,arabia_red_sea,
omega500,August,0.005967979360279888,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_africa_arabia,
omega500,August,-0.02782954162532479,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,tej_core,
omega500,August,0.01301104571035895,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,somali_jet_box,
omega500,August,0.021050622501973117,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,turkana_corridor,
omega500,September,-0.010430849133957787,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia,
omega500,September,-0.049928732113579906,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,ethiopia_highlands_broad,
omega500,September,-0.04105865923255497,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,north_ethiopia,
omega500,September,-0.07725446350355072,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,central_ethiopia,
omega500,September,-0.06506329824477083,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.,era5_vertical_divergence_height_diagnostics,west_ethiopia,
